#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=RASPISHAKE,http://raspberryshake.net/
AM|R459C|52.87387387|-1.074805898|67.0|Raspberry Shake Citizen Science Station|2019-09-26T07:50:21|2020-03-14T17:00:21
AM|R459C|52.87387387|-1.074805898|67.0|Raspberry Shake Citizen Science Station|2020-06-19T08:03:50|2020-07-25T17:00:31
AM|R475A|51.48648649|-3.226787639|34.0|Raspberry Shake Citizen Science Station|2019-10-07T14:03:11|2599-12-31T23:59:59
AM|R47BE|54.25225225|-0.3701432405|80.0|Raspberry Shake Citizen Science Station|2020-01-16T21:27:37|2020-01-17T11:25:18
AM|R47BE|54.28828829|-0.4322112008|50.0|Raspberry Shake Citizen Science Station|2020-01-17T11:25:18|2020-01-17T17:24:02
AM|R47BE|54.25225225|-0.3701432405|80.0|Raspberry Shake Citizen Science Station|2020-01-17T17:24:02|2020-01-21T17:00:12
AM|R47BE|54.25225225|-0.3701432405|80.0|Raspberry Shake Citizen Science Station|2020-01-24T16:15:03|2020-02-04T08:20:32
AM|R47BE|54.28828829|-0.4322174982|49.0|Raspberry Shake Citizen Science Station|2020-02-04T08:20:32|2020-03-08T17:00:19
AM|R47BE|54.28828829|-0.4322174982|49.0|Raspberry Shake Citizen Science Station|2020-03-09T08:18:18|2020-06-24T17:00:36
AM|R480A|50.20720721|-5.307483239|86.0|Raspberry Shake Citizen Science Station|2018-12-07T09:33:07|2019-07-28T17:00:07
AM|R480A|50.20720721|-5.307483239|86.0|Raspberry Shake Citizen Science Station|2019-08-20T15:00:53|2019-12-22T17:00:13
AM|R480A|50.20720721|-5.307483239|86.0|Raspberry Shake Citizen Science Station|2020-01-02T16:23:12|2599-12-31T23:59:59
AM|R4F51|53.05405405|-2.518228931|40.0|Raspberry Shake Citizen Science Station|2016-12-20T17:55:17|2019-07-26T17:00:07
AM|R4F51|53.05405405|-2.518228931|40.0|Raspberry Shake Citizen Science Station|2019-07-27T10:24:57|2019-08-03T17:00:05
AM|R4F51|53.05405405|-2.518228931|40.0|Raspberry Shake Citizen Science Station|2019-08-04T08:42:04|2020-04-14T17:00:20
AM|R4F51|53.05405405|-2.518228931|40.0|Raspberry Shake Citizen Science Station|2020-04-20T06:30:31|2599-12-31T23:59:59
AM|R50C3|52.64864865|-0.6237700939|83.0|Raspberry Shake Citizen Science Station|2019-11-21T13:43:51|2019-11-23T17:00:11
AM|R50C3|52.64864865|-0.6385560355|92.0|Raspberry Shake Citizen Science Station|2019-11-29T16:24:47|2020-01-16T09:11:28
AM|R50C3|52.64864865|-0.6237058952|99.0|Raspberry Shake Citizen Science Station|2020-01-16T14:03:16|2020-01-18T17:00:15
AM|R50C3|52.64864865|-0.6386319886|116.0|Raspberry Shake Citizen Science Station|2020-01-27T15:37:20|2020-02-17T17:33:06
AM|R51D2|51.6036036|-0.3336581552|88.0|Raspberry Shake Citizen Science Station|2019-07-02T21:32:12|2019-09-22T17:00:10
AM|R51D2|51.6036036|-0.3336581552|88.0|Raspberry Shake Citizen Science Station|2019-09-22T18:47:32|2020-04-11T17:00:22
AM|R51D2|51.6036036|-0.3336581552|88.0|Raspberry Shake Citizen Science Station|2020-06-04T15:24:17|2020-06-08T17:00:28
AM|R5331|52.67567568|-0.7132129626|110.0|Raspberry Shake Citizen Science Station|2019-06-29T15:29:39|2019-07-06T17:00:05
AM|R538F|53.37837838|-3.096417961|18.0|Raspberry Shake Citizen Science Station|2020-06-01T16:48:31|2020-06-02T09:36:09
AM|R538F|53.37837838|-3.096403416|18.0|Raspberry Shake Citizen Science Station|2020-06-02T09:36:09|2599-12-31T23:59:59
AM|R5754|57.15315315|-2.541681834|190.0|Raspberry Shake Citizen Science Station|2018-09-21T15:13:09|2019-07-01T17:00:06
AM|R5754|57.15315315|-2.541681834|190.0|Raspberry Shake Citizen Science Station|2019-07-03T09:14:10|2019-07-21T17:00:07
AM|R5754|57.15315315|-2.541681834|190.0|Raspberry Shake Citizen Science Station|2019-08-06T15:56:54|2020-02-17T17:33:11
AM|R5754|57.15315315|-2.541681834|190.0|Raspberry Shake Citizen Science Station|2020-02-21T10:50:08|2020-06-14T17:00:26
AM|R5754|57.15315315|-2.541681834|190.0|Raspberry Shake Citizen Science Station|2020-06-15T15:32:44|2020-06-29T17:00:38
AM|R5754|57.15315315|-2.541681834|190.0|Raspberry Shake Citizen Science Station|2020-06-30T15:02:29|2599-12-31T23:59:59
AM|R5982|51.37837838|-0.3897109218|14.0|Raspberry Shake Citizen Science Station|2017-04-14T10:15:39|2019-07-10T17:00:06
AM|R5982|51.37837838|-0.3897109218|14.0|Raspberry Shake Citizen Science Station|2019-07-10T20:16:58|2019-12-22T17:00:16
AM|R5982|51.37837838|-0.3897109218|14.0|Raspberry Shake Citizen Science Station|2019-12-31T16:29:39|2599-12-31T23:59:59
AM|R60ED|55.91891892|-3.167539462|85.0|Raspberry Shake Citizen Science Station|2020-02-05T14:22:44|2020-02-12T16:28:58
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-02-12T16:28:58|2020-02-21T17:00:19
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-02-25T10:23:58|2020-02-25T14:30:13
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-02-25T14:30:13|2020-02-26T17:41:23
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-02-26T17:41:23|2020-02-28T17:00:18
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-03-02T11:06:07|2020-03-02T11:13:05
AM|R60ED|55.91891892|-3.167547635|85.0|Raspberry Shake Citizen Science Station|2020-03-02T11:13:05|2020-03-03T16:24:39
